Id,Label,timeset,modularity_class
rPS2LqUqnpp5mB839rqLikHJTZo2HmgSsq,rPS2LqUqnpp5mB839rqLikHJTZo2HmgSsq,,0
rUjBuqNLVAMcLbdknKimdhjbEcgjj1HyZV,rUjBuqNLVAMcLbdknKimdhjbEcgjj1HyZV,,0
rJkCxYx8YA5FmSDie3bLysKJDaRJ5X2qeV,rJkCxYx8YA5FmSDie3bLysKJDaRJ5X2qeV,,0
rfVTkykXHnquqg96xZzMUZigZoQHXnPvk5,rfVTkykXHnquqg96xZzMUZigZoQHXnPvk5,,0
rHfFzyGjUrY9YpVRMYmFMDJQhskA1NhD6D,rHfFzyGjUrY9YpVRMYmFMDJQhskA1NhD6D,,0
rH8yTBLm2SYgcL5HQGDznuNxMiy5ayYcmK,rH8yTBLm2SYgcL5HQGDznuNxMiy5ayYcmK,,0
rKocgALSLbPxHs3cKgTB9yGQWtcNdfJbvP,rKocgALSLbPxHs3cKgTB9yGQWtcNdfJbvP,,0
rpE35QKVLgdo8oD4BMhykbsCvWLRFY8qFx,rpE35QKVLgdo8oD4BMhykbsCvWLRFY8qFx,,0
rUreZ3RVEC78EoypHEdcKWVjZBx5cLwcoY,rUreZ3RVEC78EoypHEdcKWVjZBx5cLwcoY,,0
rEkdjosaBKCZgcd6zpQKiiJVtDCezBJyPz,rEkdjosaBKCZgcd6zpQKiiJVtDCezBJyPz,,0
rfqj5TA4XSwK4B9Y2DpjrcG4RuPrMyh1nG,rfqj5TA4XSwK4B9Y2DpjrcG4RuPrMyh1nG,,0
r4cWhKuLpGwBMF6w7k4i41vZz4MyPGY9HR,r4cWhKuLpGwBMF6w7k4i41vZz4MyPGY9HR,,0
rBaj4jAjPXj3FpKv2kvDSp8FhuDjvaVyF2,rBaj4jAjPXj3FpKv2kvDSp8FhuDjvaVyF2,,0
rhVbwKfVjSBDwV4cDkko63wVDV4z7SwSy4,rhVbwKfVjSBDwV4cDkko63wVDV4z7SwSy4,,0
r4veb1aUS6ULbja6VM9G4vbyRezsWXcxr4,r4veb1aUS6ULbja6VM9G4vbyRezsWXcxr4,,0
rgiYqntVgC3NzCPKDUcJLLrXS3FQwVUuA,rgiYqntVgC3NzCPKDUcJLLrXS3FQwVUuA,,0
rfR6rCDjD2F6ciptZc97hD92ki9KQtJdxJ,rfR6rCDjD2F6ciptZc97hD92ki9KQtJdxJ,,0
r8qCWV4ELx41H1JoQd1K94it8jDmuuAEV,r8qCWV4ELx41H1JoQd1K94it8jDmuuAEV,,0
r3bafydMj4woraEW8ysCLueWypLyf37BB4,r3bafydMj4woraEW8ysCLueWypLyf37BB4,,0
rs2p6a6gHRQZMcqpchPsvkiYh2JMvpqkKa,rs2p6a6gHRQZMcqpchPsvkiYh2JMvpqkKa,,0
rn2TZa7VzYjy6fM7otGGuPpZLC3wrPKzz6,rn2TZa7VzYjy6fM7otGGuPpZLC3wrPKzz6,,0
raRZqN9u7s43ymGbNpnMPS96fjmVBmk8Lt,raRZqN9u7s43ymGbNpnMPS96fjmVBmk8Lt,,0
raBbRxUdUVAta1gvduy8a4MCEq4qZzi3Ac,raBbRxUdUVAta1gvduy8a4MCEq4qZzi3Ac,,0
rBuese9iUs2VT5a3K2K2jxtY1ZtseosPa5,rBuese9iUs2VT5a3K2K2jxtY1ZtseosPa5,,0
rLE3y2nuwQnDEZ7mELvJd11qg6g5MzeczA,rLE3y2nuwQnDEZ7mELvJd11qg6g5MzeczA,,0
rLp77efwdX3xGQdTyrgNgDx6JJDYSznsQN,rLp77efwdX3xGQdTyrgNgDx6JJDYSznsQN,,0
rG61xKmr2NYMkk1p92VqBqjgNW5FT51a9E,rG61xKmr2NYMkk1p92VqBqjgNW5FT51a9E,,0
r3TZeiaAMzknmw4skFmFcLPWSjPoNToHEs,r3TZeiaAMzknmw4skFmFcLPWSjPoNToHEs,,0
rEtCxFrMFJC56o8U1mzTdhviSPjm3ZwRjc,rEtCxFrMFJC56o8U1mzTdhviSPjm3ZwRjc,,0
rPNR6j2F9EgZ1kRrz5rAkYfHZE83gVtTZd,rPNR6j2F9EgZ1kRrz5rAkYfHZE83gVtTZd,,0
rG7i3g4w74PsQfNV5MJUmdFJUbcFLzsR6S,rG7i3g4w74PsQfNV5MJUmdFJUbcFLzsR6S,,0
rwc2YxNsnrkW38VKPARe5fXec9FonEsy6n,rwc2YxNsnrkW38VKPARe5fXec9FonEsy6n,,0
r9tuUrnHh6ZzPB515URLk9kK4qLA8AdRZz,r9tuUrnHh6ZzPB515URLk9kK4qLA8AdRZz,,0
rBq6qr3i5wAretw6ZqHdUJzD1fy7CNFdfB,rBq6qr3i5wAretw6ZqHdUJzD1fy7CNFdfB,,0
rhdYVnFUY3kuC2MBh9EWifGG8EqUestzcw,rhdYVnFUY3kuC2MBh9EWifGG8EqUestzcw,,0
r4vbircHcBN9m9jgktCZ4SNU8fniQrhGCY,r4vbircHcBN9m9jgktCZ4SNU8fniQrhGCY,,0
r4NCdK2X9zg1GXYrzJzkbxdrDeKyv5uzM1,r4NCdK2X9zg1GXYrzJzkbxdrDeKyv5uzM1,,0
rfidMWgHsVZL5ytF1siFmZntEE5HqPLJAJ,rfidMWgHsVZL5ytF1siFmZntEE5HqPLJAJ,,0
rLdbWymi4dysyE8dM19ykiQtT7SjDE7oUS,rLdbWymi4dysyE8dM19ykiQtT7SjDE7oUS,,0
rP275DFohfEhtb7L1rpFkwZVMvxzDkaErM,rP275DFohfEhtb7L1rpFkwZVMvxzDkaErM,,0
rs72ng4S4WiTCxgDT5AnjJ2tfufbrBdhzS,rs72ng4S4WiTCxgDT5AnjJ2tfufbrBdhzS,,0
rBVASRLY1t4C5H5DyMkntueSgfpBov4hFo,rBVASRLY1t4C5H5DyMkntueSgfpBov4hFo,,0
rNF3ShGAWcKoGEpjkt2E3t8B1cYkpSjxS8,rNF3ShGAWcKoGEpjkt2E3t8B1cYkpSjxS8,,0
rD5Zp5JXq7Zddzit4RSobjEBicQDYvh43U,rD5Zp5JXq7Zddzit4RSobjEBicQDYvh43U,,0
rNgt4W3eUsapRtAX32dssFAtPwkNzrNuKP,rNgt4W3eUsapRtAX32dssFAtPwkNzrNuKP,,0
rDRUTauLyKNtB1S4iqMVjoyWB2hxByH5Jh,rDRUTauLyKNtB1S4iqMVjoyWB2hxByH5Jh,,0
rNRmKmSN4EofjLJ6DdrPH22AEyj9bnEknW,rNRmKmSN4EofjLJ6DdrPH22AEyj9bnEknW,,0
