,0,0
85,rBkNf6nBbU7nedbdb7ihiNvQ86XvVvTpcd,1
86,rsWh6ZoeaCtAExcqxCcaGHkTu7QPgX315c,1
87,rLRCz93dB8x9HG6iMe79QXmEnwJgtUGNmE,1
88,ra9jyTjBowsTqv9r9SWAZ7rDcEeGw4boZf,1
89,rHhezkjh5MbkThdHTBG5XF1t8ajXCqaxL6,1
90,rKQ85MNzro8k8pjM9BvEP5opvJeq2JhvAy,1
91,rN4aRTxpNimQtrW7ZptzbzP8YbBWNUWJmq,1
92,rDNYKAa2R9THixaJyQvpvjka4NZw5RYwWi,1
93,r3QTSnJWhPK42YL6mujNk3xHQFucb3k4PN,1
94,rwZBRkDPQqQgmsHVkN4kciniS4P6jwMVZf,1
95,rfrQRhVgiQJtFDigbrpxb4auvmUs6AMkfg,1
96,rwdiWkKH6gfLeqch1vH4qw8ADu4pNGg3C,1
97,rPx3ETQKzTBaQFY3cU14A2nJHW4aowPZ39,1
98,rLR5AdgtFzRzXQfYjcncY7ymeigqsjQERB,1
99,rhG9x5RT5S3udbz1LnbRHGh3wR1LnG34UU,1
100,rPKorcYkN5EWLFZ8YB7f794ye3APcHFzoZ,1
101,rfdNt7HgwKQGAEWHhThXm3a9huBhRzbbCy,1
102,rKcD7YkiF6Ywf2uARAKdK8fscV3apnQoEG,1
103,rNYFCaL2NDLkbEu96QSRZDStTYeuFDAFtp,1
104,rVsbufP6WS1JgbyxiGxb6jXTeu2PriqyD,1
105,rBfC6WsjTHYN9UssV5kyCTkUHnGejfqcJg,1
106,rPshh8EaBK4gcGudGFwtqHsi8CrTMnskQP,1
107,rsTt99WydW4aQyeVcR4CDxtrYcM2nw8g3v,1
108,r9Mhmx8xEBmoRyfjQb2XVZgTJi6ST8P4CL,1
109,rDrLACUDHnBnkctnHruAC2mHK41hw7jhVH,1
110,rfKHfoAHbu26LHUxKvaCZ732oh7YnpCtv6,1
111,rsCnWrfKPVkfN1KhyKHsjKQmBwxAmNXH5s,1
112,rPS2LqUqnpp5mB839rqLikHJTZo2HmgSsq,1
113,rUjBuqNLVAMcLbdknKimdhjbEcgjj1HyZV,1
114,rTpr6TNRwNubT6arps2PAiamC9QR7e1WR,1
115,rLGPAtutBQMrSihCYQTRJc9XdeXAv9JUkZ,1
116,rpBZsY7cXzsyfRYD8qWxYW2z2Hx3bsezmk,1
117,rJkCxYx8YA5FmSDie3bLysKJDaRJ5X2qeV,1
118,rwG35XoYfzCZGeV8j9ouxKVZxj9RpjgJdn,1
119,rLM6xHChZRzF3dgVJUTd5WKi5mDkF2xML5,1
120,rfVTkykXHnquqg96xZzMUZigZoQHXnPvk5,1
121,rHfFzyGjUrY9YpVRMYmFMDJQhskA1NhD6D,1
122,rH8yTBLm2SYgcL5HQGDznuNxMiy5ayYcmK,1
123,rDmUgWRjAZJndxpbbwLPz2GTgxwYpoTwZD,1
124,rKocgALSLbPxHs3cKgTB9yGQWtcNdfJbvP,1
125,ra3iChWs6UUwW7mto5A7MhPumxHYepUJL9,1
126,rpE35QKVLgdo8oD4BMhykbsCvWLRFY8qFx,1
127,rUreZ3RVEC78EoypHEdcKWVjZBx5cLwcoY,1
128,rfPEziGYRpERyCoA68gjAe3bmFmtqNL8JT,1
129,r4UVjU8w7cr6Raye2DBuBXf19ueeh9nk4y,1
130,rhFThvhfTbw1nnbEXQHTXVRJYRroaSc67R,1
131,rEkdjosaBKCZgcd6zpQKiiJVtDCezBJyPz,1
132,rfqj5TA4XSwK4B9Y2DpjrcG4RuPrMyh1nG,1
133,rDM1BzJYWxiGNpGkzt1TCpXtCvW3KCQZTR,1
134,raEmQPuVX5NVoKYfwhvW3qwgzFmFjHdcw2,1
135,r4cWhKuLpGwBMF6w7k4i41vZz4MyPGY9HR,1
136,rn2WS6FP4BQfoi6dp9jDBAk7aC8vNEe9ef,1
137,rnXUn35WVPVq3vKyrRNjTWWbH3RW3iiHnh,1
138,rBaj4jAjPXj3FpKv2kvDSp8FhuDjvaVyF2,1
139,rsAMVGo8fZV85B7wqKRQQf8j3hvS5PWkMN,1
140,rhVbwKfVjSBDwV4cDkko63wVDV4z7SwSy4,1
141,r4veb1aUS6ULbja6VM9G4vbyRezsWXcxr4,1
142,rgiYqntVgC3NzCPKDUcJLLrXS3FQwVUuA,1
143,rfR6rCDjD2F6ciptZc97hD92ki9KQtJdxJ,1
144,r46Q71mv1UpxgC1aKn1dfW2YRivYCj866P,1
145,rJaymLSc7bu73W8EGB9ChfAi2LvfkrXgc4,1
146,r8qCWV4ELx41H1JoQd1K94it8jDmuuAEV,1
147,r3bafydMj4woraEW8ysCLueWypLyf37BB4,1
148,rUwWw3mo4DyDi7aS456YbgDgoKixAdwVoB,1
149,rww3E5NVPXaYPkzn1TwRuxrt35azAvkbZZ,1
150,rMCjRvK7jHdmrCBMRZ4z7is8MVhTGX1amt,1
151,rs2p6a6gHRQZMcqpchPsvkiYh2JMvpqkKa,1
152,rG8tXwyXb9MUj8vRjkUuEaxTuVmrR9Kjfw,1
153,rn2TZa7VzYjy6fM7otGGuPpZLC3wrPKzz6,1
154,rGX6oGkWiD2rtDUWcPti2Vf4FUiLPGZVBJ,1
155,raRZqN9u7s43ymGbNpnMPS96fjmVBmk8Lt,1
156,rNd9UyR5DgTKRMhfgbd3QMuKeN24rAJVeA,1
157,raBbRxUdUVAta1gvduy8a4MCEq4qZzi3Ac,1
158,rBuese9iUs2VT5a3K2K2jxtY1ZtseosPa5,1
159,rpTQ8wuw4Kpuji5u1czDT8EoPbRsKauLpY,1
160,rDEbpBfoRY4QRbKvHmCfwtvp3DGPYMR2Xt,1
161,rMRYaaTE6AupVNkUjF2paggSXcPzhDFHcu,1
162,rLE3y2nuwQnDEZ7mELvJd11qg6g5MzeczA,1
163,rLp77efwdX3xGQdTyrgNgDx6JJDYSznsQN,1
164,rwRvKXd2j4JoAZbDSy1Efmcjy9pFzsJixw,1
165,r9Tbr24BEYiJ16hE4Aun78M21kBi8fUDbj,1
166,r4KDtXcZX92CgucLqmnRrX6VXq4zv1GPy5,1
167,rLrD6jV92MJvAzEpT5LABgyEQ9mjgGr263,1
168,rG61xKmr2NYMkk1p92VqBqjgNW5FT51a9E,1
169,rpYSWqi17rj7tbUH8pwo1d1aWQ78XXdN1U,1
170,r3TZeiaAMzknmw4skFmFcLPWSjPoNToHEs,1
171,rwERYNijv8FyaGMBf1SLoTXPo84Q4H1vVC,1
172,rEtCxFrMFJC56o8U1mzTdhviSPjm3ZwRjc,1
173,rPNR6j2F9EgZ1kRrz5rAkYfHZE83gVtTZd,1
174,rEiK3T6vHXebE1MVUZMkp2PJt4nreY7QyT,1
175,rf9cqnc4trT3uCaTS99SH7Dt5jZK4adeBm,1
176,rKKAzC323zBodhxdjtokrSgg62YP9tDzh2,1
177,rG7i3g4w74PsQfNV5MJUmdFJUbcFLzsR6S,1
178,rwc2YxNsnrkW38VKPARe5fXec9FonEsy6n,1
179,rNVevnN1BophYSvkzMxReoYKjcUcsfiQGM,1
180,r9tuUrnHh6ZzPB515URLk9kK4qLA8AdRZz,1
181,rf2izsATnjy4TXdrsow2MiBLQw9ai3BQdL,1
182,r35o4kraLb3c6P8qyqv9hZpfVNvqg9aNyg,1
183,rBq6qr3i5wAretw6ZqHdUJzD1fy7CNFdfB,1
184,rhdYVnFUY3kuC2MBh9EWifGG8EqUestzcw,1
185,rEY98pYWh8rjqAhL9BoY9NCv9t4w1NyGPZ,1
186,rK8LPERsbycssErMkvkQS1pHDR3SxuKV8T,1
187,rDavfXSvrkiP3MdcCJAijGNuF113Rd8Qf8,1
188,rJyoxPaP9S5UKpT85wGBMKqWZEPZFiD9sS,1
189,r4vbircHcBN9m9jgktCZ4SNU8fniQrhGCY,1
190,r4NCdK2X9zg1GXYrzJzkbxdrDeKyv5uzM1,1
191,rfidMWgHsVZL5ytF1siFmZntEE5HqPLJAJ,1
192,rBJ1rDTJbMYEKFxZRfaTfJMSjbaTtttQ9a,1
193,rLdbWymi4dysyE8dM19ykiQtT7SjDE7oUS,1
194,rP275DFohfEhtb7L1rpFkwZVMvxzDkaErM,1
195,rUuV78ykFbUrwPN6K5eLdB2sHTpzej59Tc,1
196,r4xRZVDZ3JEaqLqBqPaxQo3XbFzRYKBeLv,1
197,rs72ng4S4WiTCxgDT5AnjJ2tfufbrBdhzS,1
198,rNW56jjQLszEa42atQkr1y565yoPH6Unjf,1
199,rEtfyCjJPZNcnBpBXz9V6j1F9Efu1uzzWc,1
200,rBVASRLY1t4C5H5DyMkntueSgfpBov4hFo,1
201,raePUhV2pWhxbRpJRZetqTWqSXRFN4x7c2,1
202,rLSowjyLpVwRWxasRX4atzkCcWGxuP4wg2,1
203,rNF3ShGAWcKoGEpjkt2E3t8B1cYkpSjxS8,1
204,rpwaEH2674EmYDUeN6QQFEEWw2vrFCsnRA,1
205,rardguYHWGJAhtueQBAVm4qwrMQNfaLDXg,1
206,rD5Zp5JXq7Zddzit4RSobjEBicQDYvh43U,1
207,rnj3DcybKAkZgao7ahjyQqDx4ph5bCW677,1
208,rNgt4W3eUsapRtAX32dssFAtPwkNzrNuKP,1
